dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a174,4,0.085714286
no,CL,a175,4,0.113043478
no,CL,a176,4,0.318181818
no,CL,a177,4,0.113043478
no,CL,a178,4,0.182608696
no,CL,a179,4,0.165217391
no,CL,a180,4,0.119266055
no,CL,a181,4,0.184
no,CL,a182,4,0.055555556
no,CL,a183,4,0.346534653
no,CL,a184,4,0.15625
no,CL,a185,4,0.0625
no,CL,a186,4,0.203125
no,CL,a187,4,0.163934426
no,CL,a188,4,0.072463768
no,CL,a189,4,0.157024793
no,CL,a190,4,0.267326733
no,CL,a191,4,0.267326733
no,CL,a192,4,0.267326733
no,CL,a193,4,0.284210526
no,CL,a194,4,0.333333333
no,CL,a195,4,0.361702128
no,CL,a196,4,0.15625
no,CL,a197,4,0.046875
no,CL,a198,4,0.049180328
no,CL,a199,4,0.072463768
no,CL,a200,4,0.107438017
no,CL,a201,4,0.203125
no,CL,a202,4,0.163934426
no,CL,a203,4,0.072463768
no,CL,a204,4,0.223140496
no,CL,a205,4,0.098360656
no,CL,a206,4,0.115942029
no,CL,a207,4,0.107438017
no,CL,a208,4,0.121212121
no,CL,a209,4,0.113043478
no,CL,a210,4,0.175572519
no,CL,a1,5,0.055555556
no,CL,a2,5,0.136842105
no,CL,a3,5,0.306122449
no,CL,a4,5,0.454545455
no,CL,a5,5,0.213114754
no,CL,a6,5,0.058823529
no,CL,a7,5,0.119266055
no,CL,a8,5,0.171717172
no,CL,a9,5,0.196078431
no,CL,a10,5,0.165217391
no,CL,a11,5,0.073684211
no,CL,a12,5,0.073684211
no,CL,a13,5,0.185185185
no,CL,a14,5,0.386363636
no,CL,a15,5,0.089285714
no,CL,a16,5,0.161904762
no,CL,a17,5,0.196078431
no,CL,a18,5,0.085714286
no,CL,a19,5,0.203125
no,CL,a20,5,0.081081081
no,CL,a21,5,0.128712871
no,CL,a22,5,0.346153846
no,CL,a23,5,0.425531915
no,CL,a24,5,0.203125
no,CL,a25,5,0.055555556
no,CL,a26,5,0.113043478
no,CL,a27,5,0.219047619
no,CL,a28,5,0.240740741
no,CL,a29,5,0.157024793
no,CL,a30,5,0.128712871
no,CL,a31,5,0.128712871
no,CL,a32,5,0.228070175
no,CL,a33,5,0.425531915
no,CL,a34,5,0.13559322
no,CL,a35,5,0.207207207
no,CL,a36,5,0.240740741
no,CL,a37,5,0.081081081
no,CL,a38,5,0.194029851
no,CL,a39,5,0.025641026
no,CL,a40,5,0.252747253
no,CL,a41,5,0.333333333
no,CL,a42,5,0.234782609
no,CL,a43,5,0.136842105
no,CL,a44,5,0.196078431
no,CL,a45,5,0.260869565
no,CL,a46,5,0.284210526
no,CL,a47,5,0.240740741
no,CL,a48,5,0.227272727
no,CL,a49,5,0.227272727
no,CL,a50,5,0.326732673
no,CL,a51,5,0.333333333
no,CL,a52,5,0.219047619
no,CL,a53,5,0.306122449
no,CL,a54,5,0.136842105
no,CL,a55,5,0.224489796
no,CL,a56,5,0.32231405
no,CL,a57,5,0.153846154
no,CL,a58,5,0.19047619
no,CL,a59,5,0.203389831
no,CL,a60,5,0.306122449
no,CL,a61,5,0.219047619
no,CL,a62,5,0.136842105
no,CL,a63,5,0.102040816
no,CL,a64,5,0.207207207
no,CL,a65,5,0.252747253
no,CL,a66,5,0.252747253
no,CL,a67,5,0.230769231
no,CL,a68,5,0.119047619
no,CL,a69,5,0.185185185
no,CL,a70,5,0.267326733
no,CL,a71,5,0.163265306
no,CL,a72,5,0.386138614
no,CL,a73,5,0.241935484
no,CL,a74,5,0.364485981
no,CL,a75,5,0.314814815
no,CL,a76,5,0.454545455
no,CL,a77,5,0.347368421
no,CL,a78,5,0.270588235
no,CL,a79,5,0.295454545
no,CL,a80,5,0.326732673
no,CL,a81,5,0.407407407
no,CL,a82,5,0.407407407
no,CL,a83,5,0.425531915
no,CL,a84,5,0.27027027
no,CL,a85,5,0.306122449
no,CL,a86,5,0.472527473
no,CL,a87,5,0.295454545
no,CL,a88,5,0.538461538
no,CL,a89,5,0.403508772
no,CL,a90,5,0.443298969
no,CL,a91,5,0.213114754
no,CL,a92,5,0.147286822
no,CL,a93,5,0.193277311
